,PageRank,HubScore,AuthorityScore,Betweeness,Colony,Day,Role
Ant74,0.009058888390569831,0.013587472199870772,0.01358747219913425,0.0020771291812024316,3,18,N
Ant72,0.007454035453786804,0.011254488959172252,0.011254488958547009,0.000770476894777925,3,18,N
Ant71,0.0058627481830638055,0.007314311261430413,0.007314311261117592,0.001406361990574599,3,18,N
Ant70,0.008691167129337625,0.006266594312370446,0.0062665943128106995,0.0030004401436960182,3,18,F
Ant610,0.008756872951358172,0.013689328275982373,0.013689328275080652,0.0016262980668584827,3,18,N
Ant592,0.0070923066541145625,0.005045310253977949,0.005045310254361867,0.0026500784093527697,3,18,C
Ant19,0.003540341979806496,0.001093980756795447,0.0010939807571965527,3.07888370594834e-05,3,18,F
Ant614,0.007419556124182495,0.009063868685421573,0.009063868685186563,0.003101845841954062,3,18,N
Ant15,0.004578412407038138,0.0039598881971413665,0.003959888197157792,0.0022678026956211286,3,18,N
Ant17,0.00948083583670268,0.013235810457642097,0.013235810456962859,0.0013669118614559128,3,18,N
Ant13,0.006397693602990308,0.00879519215583393,0.00879519215538992,0.0010953473835054277,3,18,N
Ant12,0.009850948717399595,0.011171410629675055,0.0111714106294846,0.003860308416266377,3,18,F
Ant97,0.016620056171601196,0.024322128201107344,0.024322128199787792,0.0024285220867243463,3,18,N
Ant96,0.009438967691892631,0.011919720177962433,0.011919720177605163,0.004296980076641863,3,18,N
Ant169,0.002675022483022503,0.0009195688603279781,0.0009195688605645307,0.0004737921877197433,3,18,F
Ant298,0.005702542470341599,0.006439413646296192,0.0064394136461504775,0.0025701889156571627,3,18,N
Ant299,0.006302885715463345,0.00386268414217931,0.0038626841426330173,0.003329236426552626,3,18,F
Ant296,0.004077760101998108,0.002510310979661422,0.00251031097987065,0.0022545933710465156,3,18,F
Ant518,0.005609414415435961,0.0024692818258090924,0.002469281826360334,0.0031906677995175467,3,18,F
Ant215,0.011458370178663226,0.01046790322686725,0.010467903227173031,0.005153733226706639,3,18,F
Ant210,0.0050066190149764146,0.00303783149230364,0.0030378314926292975,0.003013780751245355,3,18,F
Ant458,0.007077118542021644,0.004492610663506656,0.004492610663947545,0.00371856256889512,3,18,F
Ant218,0.00562783443579565,0.003026984743971153,0.0030269847444388273,0.0038096930890543406,3,18,F
Ant219,0.006347319665437542,0.00838742147195111,0.008387421471543302,0.001703049788377824,3,18,N
Ant68,0.006556010045626928,0.009152866312347682,0.009152866311891482,0.001262578472635222,3,18,N
Ant60,0.011162212200065249,0.015847034689404255,0.015847034688760045,0.0018521960514144287,3,18,N
